Drug Protein Probability
Hydromorphone GABRG2 0.9470859
Indomethacin CHRM3 0.9627001
Indomethacin CHRM1 0.99482346
Indomethacin ADRB1 0.9877307
Indomethacin SCN10A 0.9934041
Indomethacin HTR3A 0.9326082
Indomethacin ADRA2C 0.961454
Indomethacin CALM1 0.96379316
Indomethacin SLC12A1 0.98354715
Indomethacin HTR2C 0.9632313
Indomethacin TOP2A 0.9136474
Indomethacin SLC6A4 0.980431
Indomethacin DPP4 0.98241675
Indomethacin MAOB 0.9320225
Indomethacin CACNA1D 0.9799755
Ethambutol NR3C1 0.9554405
Metformin PTGS1 0.9830238
Metformin ACHE 0.91866493
Metformin PDE4B 0.93129426
Metformin GABRA3 0.9038329
Metformin CHRM2 0.9888222
Metformin ADRB2 0.96506107
Metformin DRD2 0.9242819
Metformin EIF2S3 0.9430434
Methadone DRD1 0.98281443
Methadone CHRM1 0.9029761
Methadone CHRM2 0.99193716
Methadone OPRK1 0.95644313
Methadone DRD2 0.9758277
Methadone GABRB3 0.91128665
Olanzapine AR 0.9867359
Olanzapine ADRB1 0.98421544
Olanzapine SCN5A 0.9349519
Olanzapine ABCC8 0.9568693
Olanzapine ALOX5 0.9945643
Olanzapine HTR2B 0.9997801
Olanzapine CACNA1C 0.99443674
Olanzapine GABRA4 0.9840755
Olanzapine GABRA3 0.9644344
Olanzapine CA4 0.95784
Olanzapine NPR1 0.9983047
Olanzapine SLC6A4 0.90569824
Olanzapine NR3C1 0.9264815
Olanzapine GABRA1 0.9994072
Olanzapine ADORA2A 0.9603768
Olanzapine GABRB2 0.99517524
Olanzapine CACNA1D 0.9048726
Olanzapine CXCR1 0.92580724
Olanzapine GABRG1 0.96883786
Atenolol ADRA2A 0.9928947
Atenolol TPO 0.91190743
Pimecrolimus PPARG 0.9457989
Pimecrolimus BCL2 0.958738
Pimecrolimus ADRA2A 0.96346503
Pimecrolimus OPRD1 0.960505
Pimecrolimus DRD2 0.975416
Pimecrolimus OPRM1 0.9869104
Pimecrolimus NR3C1 0.9912821
Pimecrolimus GABRA1 0.923832
Omeprazole NR3C1 0.94539064
Pyrazinamide DRD1 0.9776389
Pyrazinamide CHRM3 0.9583152
Pyrazinamide DRD5 0.98890674
Pyrazinamide SCN5A 0.9420619
Pyrazinamide PTGS2 0.96605754
Pyrazinamide ADRA2C 0.9439155
Pyrazinamide HTR2C 0.97831076
Pyrazinamide SLC6A4 0.99749714
Pyrazinamide HTR1B 0.95775944
Pyrazinamide GABRG1 0.9004476
Protriptyline SCN10A 0.98998356
Protriptyline HTR1A 0.93612754
Protriptyline HTR2B 0.97285426
Protriptyline DRD2 0.9980592
Protriptyline HTR1B 0.9587172
Alfuzosin CHRM3 0.93477947
Alfuzosin ADRB1 0.99917644
Alfuzosin ADRA2A 0.9973157
Alfuzosin ADRA2C 0.9302934
Alfuzosin HTR2A 0.9694912
Alfuzosin HTR2C 0.9958548
Clobazam PTGS1 0.98512506
Clobazam DRD5 0.99462587
Clobazam SCN5A 0.97208506
Clobazam CHRM5 0.99539423
Clobazam PTGS2 0.9927269
Clobazam HTR1A 0.986535
Clobazam HTR3A 0.9899448
Clobazam HTR2B 0.9715801
Clobazam OPRD1 0.9226166
Clobazam HTR2A 0.9926589
Clobazam ADRA1A 0.95341486
Clobazam HTR2C 0.999539
Clobazam CHRM2 0.9900892
Clobazam ADRA2B 0.9913339
Clobazam ADRA1B 0.99183065
Clobazam OPRK1 0.9983016
Clobazam HTR7 0.918491
Clobazam HTR1D 0.9893428
Clobazam DRD2 0.99200046
Clobazam OPRM1 0.98950434
Minoxidil DRD1 0.99915636
Minoxidil CHRM1 0.9987049
Minoxidil DRD5 0.981645
Minoxidil CHRM5 0.9620343
Minoxidil ADRA2A 0.9881777
Minoxidil HTR2A 0.9921591
Minoxidil SLC6A2 0.9953491
Minoxidil HTR2C 0.98760986
Minoxidil OPRK1 0.9383309
Minoxidil ADRB2 0.9337229
Minoxidil OPRM1 0.90010417
Minoxidil GABRA1 0.999438
Minoxidil GABRB3 0.991281
Minoxidil GABRG2 0.99692863
Minoxidil GABRG3 0.93323296
Megestrol PTGS2 0.9038169
Megestrol ADRA2A 0.9337571
Megestrol SLC6A2 0.9988224
Megestrol GABRA1 0.94376224
Aztreonam ADRA2A 0.97956306
Aztreonam HTR2A 0.995928
Aztreonam ADRB2 0.91753274
Aztreonam NR3C1 0.921443
Aminoglutethimide AR 0.9665305
Aminoglutethimide ADRB1 0.9647688
Aminoglutethimide PTGS2 0.938125
Aminoglutethimide ADRA2A 0.9842817
Aminoglutethimide OPRD1 0.9624567
Aminoglutethimide ADRB2 0.9427328
Aminoglutethimide OPRM1 0.9619436
Aminoglutethimide MAOA 0.9385178
Mefloquine CHRM3 0.9241243
Mefloquine HTR3A 0.96398574
Mefloquine RRM1 0.9102329
Mefloquine ADRA2C 0.9099019
Mefloquine GABRA4 0.9247717
Mefloquine HTR2C 0.93206406
Mefloquine OPRM1 0.91187775
Mefloquine GABRA1 0.99294114
Clozapine ADORA1 0.958243
Clozapine HTR4 0.92149466
Clozapine DBH 0.9571845
Clozapine DRD5 0.9952409
Clozapine SCN10A 0.9946467
Clozapine GABBR1 0.9279493
Clozapine NDUFB10 0.96436065
Clozapine PTGS2 0.9509828
Clozapine TYMS 0.9757075
Clozapine HTR2B 0.9994698
Clozapine CACNA1C 0.9430913
Clozapine SSTR1 0.9193733
Clozapine GABRA4 0.9950671
Clozapine SLC6A2 0.9903818
Clozapine PDE4B 0.9449307
Clozapine HMGCR 0.9874988
Clozapine OPRK1 0.9958603
Clozapine SLC6A3 0.999521
Clozapine FFAR1 0.93228966
Clozapine GLRA2 0.98137397
Clozapine SLC6A4 0.94463485
Clozapine NR3C1 0.99662966
Clozapine GABRA1 0.9998859
Clozapine ADORA2A 0.9984469
Clozapine TNNC1 0.9545632
Clozapine PDE4A 0.9959884
Clozapine PDE4D 0.99765056
Clozapine CACNA1B 0.99887735
Clozapine GABRB3 0.9974865
Clozapine CACNA1D 0.98671
Clozapine GABRG2 0.9587557
Clozapine GABRR2 0.98167014
Sucralfate CHRM3 0.94047785
Sucralfate CHRM1 0.98584324
Sucralfate ADRB1 0.9995745
Sucralfate ADRA2A 0.99954176
Sucralfate CHRM4 0.9765436
Sucralfate HTR2A 0.9903272
Sucralfate ADRA1A 0.98595077
Sucralfate HTR2C 0.9680223
Sucralfate ADRA1B 0.9854753
Sucralfate ADRB2 0.9991019
Sucralfate ADRA1D 0.96015376
Sucralfate SLC6A4 0.94365394
Sucralfate OPRM1 0.90539914
Sucralfate GABRA1 0.99533725
Sucralfate NID1 0.91043144
Sucralfate FGFR1 0.9138848
Sucralfate FGFR3 0.98733485
Sucralfate GABRB1 0.94738466
Sucralfate CACNA1D 0.9732301
Levonorgestrel PTGS1 0.93172055
Levonorgestrel ADRB1 0.90022403
Levonorgestrel ADRA2A 0.96563464
Levonorgestrel TYMS 0.9544044
Levonorgestrel HTR2B 0.9854575
Levonorgestrel HTR2A 0.92923564
Levonorgestrel NR3C1 0.9989697
Levonorgestrel GABRB3 0.9023084
Norepinephrine HRH2 0.98099744
Norepinephrine SCN5A 0.9738704
Norepinephrine CACNA1C 0.91092986
Norepinephrine PTGIR 0.91802716
Norepinephrine POLA1 0.9572614
Norepinephrine CHRM2 0.95109063
Norepinephrine OPRM1 0.9502369
Norepinephrine NR3C1 0.99681026
Norepinephrine GABRA1 0.9623732
Norepinephrine FECH 0.92729115
Norepinephrine BCHE 0.90943575
Norepinephrine GABRG1 0.9239028
Norepinephrine GABRD 0.97075033
Cidofovir HTR1B 0.91772616
Mirtazapine DRD1 0.9363986
Mirtazapine CHRM3 0.98737144
Mirtazapine ADRB1 0.9981342
Mirtazapine SCN5A 0.9965405
Mirtazapine CHRM2 0.9742521
Mirtazapine ADRA1B 0.9738609
Mirtazapine SLC6A3 0.94287646
Mirtazapine DRD2 0.9736102
Mirtazapine GABRA1 0.9962245
Meprobamate CHRM1 0.9850264
Meprobamate ADRB1 0.9652845
Meprobamate HTR1B 0.98680437
Meprobamate BCHE 0.96880734
Meprobamate MAOB 0.9511398
Meprobamate GABRG1 0.9946425
Timolol ADRA2A 0.98463285
Timolol OPRD1 0.98297197
Timolol DRD2 0.9275147
Treprostinil ADORA1 0.9851099
Treprostinil DRD1 0.93154204
Treprostinil ADRB1 0.9007542
Treprostinil SCN5A 0.9869528
Treprostinil PTGS2 0.9411502
Treprostinil ADRA2A 0.99492985
Treprostinil HTR1A 0.9016013
Treprostinil OPRD1 0.9825665
Treprostinil HTR2A 0.9788123
Treprostinil HTR2C 0.99601895
Treprostinil HTR1D 0.97834134
Treprostinil SLC6A4 0.98229986
Treprostinil DRD2 0.9948472
Treprostinil GABRA1 0.9713921
Treprostinil GABRR2 0.9091826
Trihexyphenidyl DRD1 0.9872875
Trihexyphenidyl DRD5 0.9952304
Trihexyphenidyl ADRB1 0.9992052
Trihexyphenidyl SCN5A 0.9092795
Trihexyphenidyl PTGS2 0.9948716
Trihexyphenidyl ADRA2A 0.98132193
Trihexyphenidyl DHFR 0.9744038
Trihexyphenidyl ADRA2C 0.975206
Trihexyphenidyl HTR2A 0.977635
Trihexyphenidyl GABRA4 0.9936831
Trihexyphenidyl SLC6A2 0.9477033
Trihexyphenidyl HTR2C 0.9918771
Trihexyphenidyl GRIN3A 0.98995274
Trihexyphenidyl DRD2 0.92825574
Trihexyphenidyl GABRA1 0.996425
Trihexyphenidyl GABRB3 0.9935126
Trihexyphenidyl GABRB2 0.90806013
Trihexyphenidyl CACNB2 0.9872771
Palonosetron ADRA2A 0.99508876
Palonosetron OPRM1 0.9986266
Palonosetron GABRA1 0.97859883
Mexiletine PTGS1 0.98557127
Mexiletine DRD1 0.98254377
Mexiletine CHRM3 0.98326874
Mexiletine CHRM1 0.967309
Mexiletine DRD5 0.93523383
Mexiletine ADRB1 0.9879177
Mexiletine PTGS2 0.91529447
Mexiletine ADRA2A 0.999949
Mexiletine ADRA1A 0.97275275
Mexiletine ADRA2B 0.94251966
Mexiletine OPRK1 0.99037594
Mexiletine ADRA1D 0.94333774
Mexiletine OPRM1 0.99843305
Mexiletine GABRA1 0.9991671
Mexiletine HTR6 0.9232463
Amlodipine CHRM3 0.9006313
Amlodipine KCNH2 0.91495615
Amlodipine CHRM1 0.99718815
Amlodipine GABRR1 0.9435532
Amlodipine ADRB1 0.9850485
Amlodipine ADRA2A 0.9966137
Amlodipine CHRM4 0.9960135
Amlodipine GABRA4 0.975812
Amlodipine SLC6A2 0.9561246
Amlodipine SLC12A1 0.9259721
Amlodipine HTR2C 0.9398617
Amlodipine CHRM2 0.9882527
Amlodipine HMGCR 0.9958015
Amlodipine ADRA1B 0.9205079
Amlodipine TOP2A 0.96860105
Amlodipine NR3C1 0.9157825
Amlodipine GABRA1 0.9349
Amlodipine TNNC1 0.95357054
Amlodipine CACNB3 0.93240666
Amlodipine GABRR2 0.9614999
Tacrine ADRA2C 0.94375545
Tacrine HTR2B 0.9801073
Tacrine SLC6A2 0.97907263
Tacrine GABRA1 0.9924725
Tacrine GABRB1 0.9456171
Tacrine GABRD 0.9715489
Triamterene DRD5 0.9522935
Triamterene ADRB1 0.96782506
Triamterene ADRA1A 0.99128234
Triamterene ADRA1B 0.9555255
Triamterene ADRB2 0.96895903
Triamterene DRD2 0.9982969
Triamterene GABRA1 0.9999018
Triamterene GABRR2 0.9591222
Phenylephrine DRD5 0.98991007
Phenylephrine PTGS2 0.9014947
Phenylephrine ADRA2A 0.9946445
Phenylephrine HTR2A 0.90088683
Phenylephrine HTR2C 0.9088993
Phenylephrine ADRB2 0.9830899
Digoxin HTR2A 0.9736249
Digoxin GABRA1 0.9617849
Digoxin GABRB3 0.9186757
Nimodipine NOS2 0.9745928
Nimodipine TUBB1 0.9716377
Nimodipine KCNH2 0.94995755
Nimodipine LHCGR 0.95040554
Nimodipine DRD5 0.99786866
Nimodipine SCN10A 0.9982591
Nimodipine GNRHR 0.9762639
Nimodipine HTR3A 0.9157475
Nimodipine SCTR 0.9593119
Nimodipine DHFR 0.9697889
Nimodipine PTGIR 0.9013329
Nimodipine SLC6A2 0.93937117
Nimodipine PDE4B 0.9814693
Nimodipine GABRA3 0.92336065
Nimodipine KCNMA1 0.94779354
Nimodipine CHRM2 0.9917848
Nimodipine ADRA1B 0.94574493
Nimodipine CYP11B1 0.99812454
Nimodipine TOP2A 0.90123016
Nimodipine SLC6A4 0.9919708
Nimodipine DRD2 0.99359095
Nimodipine CACNA1H 0.96918607
Nimodipine ADORA2A 0.9769801
Nimodipine KCNJ6 0.9762067
Nimodipine PDE4A 0.92004645
Nimodipine SCN2A 0.9714068
Nimodipine CACNA1B 0.99872893
Nimodipine CHRNA7 0.9850663
Nimodipine GABRB2 0.9413516
Nimodipine KCNQ5 0.91396433
Nimodipine GABRR2 0.9787483
Carisoprodol ADRA1A 0.9458539
Progesterone GABRR1 0.9031422
Progesterone AR 0.9575369
Progesterone HTR1A 0.99417675
Progesterone KCNMA1 0.9406621
Progesterone CHRM2 0.9986387
Progesterone HTR1D 0.99843806
Progesterone HTR1B 0.99836665
Progesterone AHR 0.9505509
Sorafenib CHRM3 0.98705924
Sorafenib AGTR1 0.99912673
Sorafenib CHRM1 0.92904186
Sorafenib HRH2 0.995832
Sorafenib ADRB1 0.99698645
Sorafenib GNRHR 0.953689
Sorafenib ADRA2A 0.97088057
Sorafenib HTR2B 0.96232224
Sorafenib CHRM4 0.9788785
Sorafenib HTR2A 0.9991357
Sorafenib ADRA1A 0.99829906
Sorafenib KCNMA1 0.9635328
Sorafenib ADRA2B 0.9416057
Sorafenib ADRA1D 0.9245037
Sorafenib TOP2A 0.9184017
Sorafenib SLC6A4 0.9445902
Sorafenib GABRA1 0.9051627
Sorafenib CSF1R 0.9681635
Sorafenib EGF 0.93957454
Sorafenib GABRB3 0.9678274
Sorafenib PIK3R2 0.90061796
Sorafenib P2RY2 0.9327496
Sorafenib CHRND 0.93991953
Griseofulvin CHRM1 0.9353103
Griseofulvin ADRA1A 0.96144414
Griseofulvin SLC6A3 0.9605646
Nisoldipine ADRB1 0.9981102
Nisoldipine ADRA2A 0.99511516
Nisoldipine CHRM4 0.9645711
Nisoldipine SLC6A2 0.9751648
Nisoldipine CHRM2 0.99980575
Nisoldipine HMGCR 0.9307681
Nisoldipine SLC6A4 0.9662942
Nisoldipine SPR 0.92100495
Nisoldipine PDE4A 0.96627206
Nisoldipine GABRB1 0.9881982
Nisoldipine CES1 0.97667027
Alprazolam HTR4 0.9781939
Alprazolam KCNH2 0.917344
Alprazolam CHRM1 0.994062
Alprazolam ADRB1 0.9916991
Alprazolam GABBR1 0.9190877
Alprazolam ACE 0.98821855
Alprazolam CHRM5 0.91335493
Alprazolam PTGS2 0.97058445
Alprazolam ADRA2A 0.91237587
Alprazolam HTR1A 0.90427196
Alprazolam ADRA2C 0.9111279
Alprazolam CHRM4 0.9790565
Alprazolam OPRD1 0.9435948
Alprazolam PDE4B 0.9842794
Alprazolam ADRA1A 0.99926335
Alprazolam HTR2C 0.9955745
Alprazolam ADRA1B 0.9326001
Alprazolam OPRK1 0.92323923
Alprazolam ADRA1D 0.98892176
Alprazolam TOP2A 0.9804125
Alprazolam OPRM1 0.90185654
Alprazolam NT5E 0.9545694
Alprazolam CYP19A1 0.91397333
Alprazolam MAOB 0.99433124
Loxapine CHRM3 0.9966356
Loxapine DRD5 0.93505037
Loxapine SCN5A 0.9598705
Loxapine ADRA2A 0.9933149
Loxapine HTR3A 0.91917187
Loxapine SLC6A2 0.95302963
Loxapine ADRA1A 0.96556485
Loxapine GABRA3 0.9695021
Loxapine OPRK1 0.94242895
Loxapine SLC6A4 0.9549315
Loxapine GABRA1 0.9275643
Loxapine HTR1B 0.998771
Carbachol P2RY12 0.9884134
Carbachol ADRA2C 0.9852915
Carbachol ADRB2 0.91614336
Carbachol NR3C1 0.99879336
Rosiglitazone CHRM3 0.9651523
Rosiglitazone CHRM2 0.9880421
Pramipexole GABBR1 0.9456821
Pramipexole CHRM5 0.9144312
Pramipexole PTGS2 0.9822015
Pramipexole OPRD1 0.9813959
Pramipexole SLC6A2 0.98725015
Pramipexole OPRK1 0.994826
Pramipexole SLC6A3 0.9584879
Pramipexole NR3C1 0.94279486
Pramipexole GABRA1 0.9975147
Pramipexole ADORA2A 0.97692114
Pramipexole GABRB2 0.94290763
Ampicillin CHRM1 0.9427456
Penicillin V PTGS2 0.91010696
Penicillin V ADRA2A 0.9655956
Penicillin V ADRA2C 0.95187396
Penicillin V CHRM2 0.9172225
Penicillin V SLC6A3 0.9793408
Penicillin V AKR1B1 0.9702551
Penicillin V PDE4A 0.94183755
Secobarbital DRD1 0.9928423
Secobarbital CHRM1 0.9949049
Secobarbital HRH4 0.91117936
Secobarbital SCN10A 0.9912581
Secobarbital ADRA2A 0.915159
Secobarbital HTR1A 0.9342827
Secobarbital DRD4 0.994643
Secobarbital ACHE 0.9964246
Secobarbital HTR2A 0.9990796
Secobarbital SLC6A2 0.9981427
Secobarbital ADRA1A 0.99414283
Secobarbital CHRM2 0.9398746
Secobarbital DRD3 0.92351305
Secobarbital HTR7 0.9609631
Secobarbital HTR1D 0.9439003
Secobarbital ADRB2 0.97560865
Secobarbital CHRNA2 0.9180157
Secobarbital TOP2A 0.9444804
Secobarbital DRD2 0.9996202
Secobarbital HTR1B 0.99212015
Secobarbital GABRG1 0.9479415
Secobarbital GABRG3 0.9649307
Secobarbital GABRD 0.9752387
Miglustat CHRM1 0.99948895
Miglustat PTGS2 0.98205596
Miglustat SLC6A2 0.9712078
Spironolactone CHRM3 0.96319026
Spironolactone ESR1 0.998292
Spironolactone PPARG 0.9953597
Spironolactone ADRA2A 0.9277647
Spironolactone HTR2C 0.99855334
Spironolactone DRD2 0.9941461
Spironolactone NR3C1 0.995826
Spironolactone GABRA1 0.9342103
Methylphenidate ADRB1 0.9332927
Methylphenidate PTGS2 0.9600809
Methylphenidate ADRA2A 0.98095644
Methylphenidate CA2 0.935379
Methylphenidate CHRM2 0.9996276
Methylphenidate PDE4A 0.9272722
Methylphenidate GABRB3 0.9964514
Methylphenidate CACNA1D 0.9013854
Zolpidem CHRM3 0.93842226
Zolpidem PPARG 0.91295075
Zolpidem CHRM5 0.9763496
Zolpidem HTR2B 0.97611976
Zolpidem GABRA4 0.99125165
Zolpidem CA4 0.96756214
Zolpidem KCNMA1 0.94102454
Zolpidem HTR1D 0.92961377
Zolpidem TOP2A 0.97062564
Zolpidem DRD2 0.9988186
Zolpidem HTR1B 0.95645124
Zolpidem GABRB3 0.9598401
Lindane NOS2 0.97738826
Lindane CHRM1 0.9881428
Lindane ADRB1 0.9958866
Lindane SCN5A 0.97742563
Lindane CHRM5 0.970346
Lindane PTGS2 0.98633933
Lindane SLC6A2 0.97325814
Lindane ADRA1A 0.975177
Lindane GABRA3 0.9931379
Lindane HTR2C 0.9750611
Lindane ADRA2B 0.92351985
Lindane ADRA1B 0.9989863
Lindane GRIN3A 0.9933711
Lindane NR3C2 0.96417844
Lindane ADRB2 0.9460064
Lindane TOP2A 0.9546403
Lindane GABRA1 0.94102824
Lindane HTR1B 0.9316212
Lindane GABRG3 0.9563375
Cyproheptadine PTGS1 0.93046314
Cyproheptadine DRD5 0.9710207
Cyproheptadine ADRB1 0.96467507
Cyproheptadine ABCC8 0.9554649
Cyproheptadine PTGS2 0.9834458
Cyproheptadine ADRA2A 0.9877857
Cyproheptadine SLC6A2 0.9890077
Cyproheptadine DRD2 0.967788
Cyproheptadine NR3C1 0.9949852
Cyproheptadine GABRA1 0.90428376
Cyproheptadine GABRD 0.934559
Allopurinol CHRM3 0.95318353
Allopurinol CHRM1 0.9527683
Allopurinol CHRM5 0.96847355
Allopurinol ADRA2C 0.9890155
Allopurinol HTR2B 0.95224994
Ceftazidime PTGS1 0.9218358
Ceftazidime NR3C1 0.91286314
Cerivastatin PTGS1 0.9925916
Cerivastatin ADRA2A 0.97183853
Cerivastatin CACNB2 0.9801404
Trimethoprim PTGS1 0.99446917
Trimethoprim PPARG 0.90792716
Trimethoprim PTGS2 0.9929507
Trimethoprim ADRA2A 0.9968548
Trimethoprim ADRA2C 0.98838055
Trimethoprim ADRA2B 0.9357112
Trimethoprim GRIN3A 0.9728836
Trimethoprim NR3C2 0.93217266
Gemcitabine PTGS1 0.90822196
Gemcitabine CHRM3 0.9369481
Gemcitabine HRH2 0.97262514
Gemcitabine AR 0.90865856
Gemcitabine GNRHR 0.97925305
Gemcitabine PPARG 0.98572135
Gemcitabine PTGS2 0.922082
Gemcitabine HTR3A 0.9640211
Gemcitabine ADRA2C 0.92432487
Gemcitabine HTR2B 0.9874299
Gemcitabine CALM1 0.9775814
Gemcitabine SLC12A1 0.9404023
Gemcitabine ADRA2B 0.9989748
Gemcitabine HTR1D 0.9008505
Gemcitabine AKR1B1 0.9457945
Gemcitabine NR3C1 0.99880147
Gemcitabine SCN4A 0.94395
Gemcitabine PDE1A 0.90458614
Gemcitabine AHR 0.94068253
Entecavir CHRM1 0.9680599
Teniposide CHRM1 0.99838746
Teniposide PTGS2 0.9100648
Teniposide ADRA1A 0.9888614
Teniposide ADRB2 0.9886651
Chloramphenicol DRD1 0.99938655
Chloramphenicol CHRM1 0.91626704
Chloramphenicol ESR1 0.9943452
Chloramphenicol CHRM5 0.9897691
Chloramphenicol PTGS2 0.9104034
Chloramphenicol ADRA2A 0.999054
Chloramphenicol DRD4 0.90831786
Chloramphenicol HTR2B 0.99841654
Chloramphenicol HTR2A 0.9998399
Chloramphenicol HTR2C 0.9836686
Chloramphenicol DRD2 0.9807515
Chloramphenicol NR3C1 0.99789655
Chloramphenicol DPP4 0.9657358
Lansoprazole ADORA1 0.90766007
Lansoprazole PTGS1 0.98191607
Lansoprazole CHRM3 0.98294926
Lansoprazole ADRA2A 0.91101253
Lansoprazole CHRM2 0.926549
Lansoprazole ADRA1B 0.9845256
Dipivefrin CHRM3 0.93782127
Dipivefrin CHRM1 0.99853706
Dipivefrin CHRM5 0.9917263
Dipivefrin HTR2A 0.98776513
Dipivefrin GABRA4 0.9987123
Dipivefrin GABRA3 0.983144
Dipivefrin CHRM2 0.9085016
Dipivefrin ADRA1B 0.99612707
Dipivefrin DRD2 0.98527205
Dipivefrin HTR6 0.93217665
Dipivefrin GABRG3 0.95906764
Dipivefrin GABRR2 0.93004555
Dipivefrin GABRD 0.9996774
Droperidol ADRA2A 0.9744052
Droperidol ADRA1B 0.95772153
Droperidol GRIN3A 0.9647299
Meperidine CHRM1 0.9809388
Meperidine DRD5 0.99895465
Meperidine ADRB1 0.9924051
Meperidine SCN5A 0.9930588
Meperidine ADRA2A 0.99838376
Meperidine HTR2A 0.99636495
Meperidine PDE4B 0.9282617
Meperidine HTR2C 0.9976376
Meperidine GRIN3A 0.9998821
Meperidine ADRA1D 0.9956844
Meperidine TOP2A 0.9984554
Meperidine DRD2 0.99422556
Meperidine NR3C1 0.97710437
Meperidine GRIK2 0.9318691
Meperidine TLR9 0.9521381
Meperidine KCND2 0.91249424
Prazosin ADORA1 0.9456494
Prazosin HTR2B 0.94009155
Prazosin CACNA1H 0.981952
Prazosin GABRD 0.9885244
Imipramine ADORA1 0.9344134
Imipramine PTGS1 0.91325074
Imipramine DRD1 0.97825444
Imipramine DRD5 0.9569431
Imipramine ADRB1 0.9635898
Imipramine SCN5A 0.99946576
Imipramine ADRA2A 0.9983954
Imipramine HTR3A 0.96730554
Imipramine SLC12A3 0.9234664
Imipramine HTR2C 0.9693943
Imipramine ADRA2B 0.98956865
Imipramine ADRA1B 0.9993031
Imipramine DRD3 0.97647583
Imipramine OPRK1 0.9035832
Imipramine GRIN3A 0.9574702
Imipramine NT5E 0.99510694
Imipramine PDE4A 0.9176405
Imipramine GABRB2 0.9093611
Imipramine CACNA1D 0.94642353
Imipramine PDE6G 0.91522026
Imipramine GABRG2 0.9967589
Imipramine CHRNG 0.9877165
Acitretin CHRM3 0.9879512
Acitretin PPARA 0.9867735
Acitretin NR0B1 0.97392184
Acitretin PPARG 0.9991874
Acitretin CHRM5 0.9388183
Acitretin PTGS2 0.9971156
Acitretin ADRA2A 0.9370676
Acitretin DHFR 0.9449691
Acitretin ADRA2C 0.92211235
Acitretin HTR2B 0.9798852
Acitretin SLC6A2 0.9970503
Acitretin ADRA1A 0.9428628
Acitretin HTR2C 0.9423984
Acitretin ADRA2B 0.95787233
Acitretin NR3C2 0.9561174
Acitretin ADRB2 0.9569737
Acitretin SLC6A4 0.97072756
Acitretin NR3C1 0.92775154
Acitretin GABRA1 0.9978109
Acitretin NR1I2 0.99819726
Acitretin GABRB3 0.9880404
Acitretin GABRR2 0.93099123
Acitretin AHR 0.97181433
Acitretin NR1H3 0.9855473
Nabumetone CHRM5 0.97061306
Nabumetone SLC6A2 0.9875426
Ketorolac DRD1 0.9617946
Ketorolac ADRB1 0.99916756
Ketorolac ADRA2A 0.99600214
Ketorolac OPRD1 0.9267439
Ketorolac HTR2C 0.9983614
Ketorolac ADRB2 0.97999096
Ketorolac ADRA1D 0.9818216
Ketorolac GABRA1 0.95458275
Ketorolac ADORA2A 0.9197643
Montelukast SLC6A3 0.9803491
Montelukast SLC6A4 0.9518008
Montelukast GABRA1 0.9397161
Montelukast GABRB1 0.9095976
Montelukast GABRR2 0.94320893
Fluoxetine GABRB3 0.96403575
Methohexital ESR1 0.9838023
Methohexital PTGS2 0.9965328
Methohexital ADRA2C 0.9139398
Methohexital HTR2A 0.94437444
Methohexital ADRA2B 0.99253523
Methohexital ADRB2 0.9326695
Methohexital TOP2A 0.9600614
Chlordiazepoxide PTGS1 0.9581964
Chlordiazepoxide AGTR1 0.9660438
Chlordiazepoxide CHRM1 0.9951326
Chlordiazepoxide DRD5 0.97286767
Chlordiazepoxide ADRB1 0.9762298
Chlordiazepoxide ACE 0.9936562
Chlordiazepoxide CHRM5 0.922036
Chlordiazepoxide ADRA2A 0.9965082
Chlordiazepoxide HTR1A 0.9983419
Chlordiazepoxide CA2 0.987099
Chlordiazepoxide ADRA2C 0.98659027
Chlordiazepoxide HTR2B 0.9393291
Chlordiazepoxide OPRD1 0.99789906
Chlordiazepoxide ACHE 0.97265965
Chlordiazepoxide CACNA1C 0.9714684
Chlordiazepoxide ENPP1 0.97551143
Chlordiazepoxide SLC6A2 0.9504686
Chlordiazepoxide PDE4B 0.99646735
Chlordiazepoxide ADRA1A 0.95912224
Chlordiazepoxide SLC12A1 0.9330997
Chlordiazepoxide KCNMA1 0.9020424
Chlordiazepoxide ADRA1B 0.9790115
Chlordiazepoxide DRD3 0.92249554
Chlordiazepoxide ADRB2 0.9988682
Chlordiazepoxide TOP2A 0.99057454
Chlordiazepoxide DRD2 0.99583673
Chlordiazepoxide OPRM1 0.9856838
Chlordiazepoxide DPP4 0.9617713
Chlordiazepoxide MAPK1 0.9586065
Chlordiazepoxide MAPK3 0.90086615
Chlordiazepoxide SCN4A 0.9727295
Chlordiazepoxide CYP19A1 0.9901376
Chlordiazepoxide BCHE 0.9160033
Chlordiazepoxide MAOB 0.99763405
Chlordiazepoxide MAOA 0.9998652
Chlordiazepoxide PRKCD 0.99669087
Chlordiazepoxide PDE6G 0.9894392
Chlordiazepoxide ATP6V1A 0.94267434
Duloxetine ADRB1 0.9929275
Duloxetine DRD2 0.916708
Duloxetine GABRA1 0.92381215
Chlorpromazine SCN5A 0.93036944
Chlorpromazine ADRA2A 0.9959965
Chlorpromazine HTR2B 0.96889234
Chlorpromazine HTR1D 0.9874162
Chlorpromazine SLC6A4 0.98344237
Chlorpromazine NR3C1 0.9920695
Chlorpromazine HTR1B 0.9954562
Chlorpromazine DPP4 0.93975604
Rimantadine CYP19A1 0.91612107
Amikacin CHRM1 0.9330457
Lenalidomide ADRB2 0.9902056
